"age","gender","ethnicity","education","household_income","height_feet","height_inches","weight","k1","k2","k3","k4","k5","d1","d2","d3","d4","d5","height","bmi","k1_score","k2_score","k3_score","k4_score","k5_score","d1_score","d2_score","d3_score","d4_score","d5_score","k_number_total","d_number_total","k_label_total","d_label_total"
"28-43","Male","White","Bachelor degree","$40,000-74,000",5,10,110,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","At least once daily",70,15.7816326530612,10,0,0,5,NA,10,10,10,10,0,NA,40,"Poor","Poor"
"44-59","Male","White","Associate degree","Less than $40,000",5,9,180,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","None of the above","No","Once a month or less","At least once daily","Once a month or less","3 to 5 times a week",69,26.578449905482,0,0,0,5,10,0,30,0,30,10,15,70,"Poor","Moderate"
"28-43","Male","White","High school degree or equivalent (e.g., GED)","$100,000-149,000",5,12,86,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","At least once daily",72,11.6624228395062,10,0,0,5,NA,10,10,10,10,0,NA,40,"Poor","Poor"
"28-43","Male","Hispanic","Graduate degree","$150,000-250,000",6,11,150,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",83,15.3070111772391,10,0,0,5,NA,10,10,10,10,10,NA,50,"Poor","Poor"
"44-59","Male","Asian","Some college but no degree","$40,000-74,000",5,5,164,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month",65,27.2880473372781,10,0,0,0,NA,0,10,10,10,20,NA,50,"Poor","Poor"
"44-59","Male","White","Some college but no degree","$40,000-74,000",5,10,165,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","Once a month or less","At least once daily",70,23.6724489795918,10,0,0,10,NA,0,0,20,30,0,NA,50,"Poor","Poor"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,11,130,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",71,18.1293394167824,0,0,0,5,NA,0,10,10,10,10,NA,40,"Poor","Poor"
"28-43","Male","White","High school degree or equivalent (e.g., GED)","$75,000-99,000",5,7,120,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","At least once daily","At least once daily","At least once daily",67,18.7926041434618,10,0,0,0,NA,10,0,0,0,0,NA,10,"Poor","Poor"
"28-43","Male","White","Bachelor degree","$40,000-74,000",5,11,200,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a week",71,27.8912914104344,10,0,0,5,5,0,30,30,30,10,20,100,"Moderate","Satisfactory"
"74 or older","Male","White","Graduate degree","$40,000-74,000",6,2,225,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","Once a month or less","3 to 5 times a month","3 to 5 times a month",74,28.8851351351351,10,0,0,5,NA,0,10,30,20,20,NA,80,"Poor","Satisfactory"
"28-43","Male","White","High school degree or equivalent (e.g., GED)","$40,000-74,000",6,7,165,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a month","At least once daily","3 to 5 times a week",79,18.5859637878545,10,0,0,5,NA,10,10,20,0,10,NA,50,"Poor","Poor"
"44-59","Male","Other","Some college but no degree","Less than $40,000",6,4,280,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",76,34.0789473684211,10,0,0,5,NA,0,10,10,20,10,NA,50,"Poor","Poor"
"28-43","Male","White","Bachelor degree","$75,000-99,000",6,2,85,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",74,10.9121621621622,10,0,0,5,NA,10,10,20,20,10,NA,70,"Poor","Moderate"
"60-73","Male","Asian","Some college but no degree","Less than $40,000",6,0,250,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","None of the above","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",72,33.9023919753086,10,0,0,10,10,0,30,30,30,20,30,110,"Moderate","Excellent"
"60-73","Male","Black or African-American","Associate degree","Less than $40,000",5,11,189,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","3 to 5 times a month","3 to 5 times a week",71,26.3572703828605,10,0,0,10,5,0,30,30,20,10,25,90,"Moderate","Satisfactory"
"28-43","Male","White","Bachelor degree","$40,000-74,000",6,11,100,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",83,10.2046741181594,10,0,0,5,5,0,10,20,20,20,20,70,"Moderate","Moderate"
"60-73","Male","Black or African-American","Associate degree","$100,000-149,000",5,9,255,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","3 to 5 times a month","3 to 5 times a month",69,37.6528040327662,10,0,0,5,5,0,30,30,20,20,20,100,"Moderate","Satisfactory"
"60-73","Male","White","Bachelor degree","Less than $40,000",6,0,270,"Disagree","Do not have a significant impact on nutritional value","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","Once a month or less","3 to 5 times a month",72,36.6145833333333,0,0,0,5,5,0,10,30,30,20,10,90,"Poor","Satisfactory"
"74 or older","Male","Asian","Graduate degree","$150,000-250,000",5,6,138,"Not sure","Do not have a significant impact on nutritional value","Nothing","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","3 to 5 times a month","At least once daily",66,22.271349862259,0,0,10,10,NA,0,0,30,20,0,NA,50,"Poor","Poor"
"44-59","Male","White","Graduate degree","Less than $40,000",5,11,165,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",71,23.0103154136084,10,0,0,5,NA,0,30,30,30,20,NA,110,"Poor","Excellent"
"60-73","Male","American Indian or Alaskan Native","Some college but no degree","$40,000-74,000",6,3,308,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a month",75,38.4931555555556,10,0,0,10,NA,0,0,30,30,20,NA,80,"Poor","Satisfactory"
"44-59","Male","White","Some college but no degree","Less than $40,000",6,2,240,"Not sure","Not sure","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month","3 to 5 times a month",74,30.8108108108108,0,0,0,10,NA,0,20,20,20,20,NA,80,"Poor","Satisfactory"
"60-73","Male","White","Some college but no degree","$40,000-74,000",6,2,245,"Agree","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","At least once daily",74,31.4527027027027,10,0,0,10,NA,0,10,10,10,0,NA,30,"Poor","Poor"
"27 or younger","Male","Asian","Bachelor degree","$75,000-99,000",6,1,180,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","3 to 5 times a week","3 to 5 times a week","At least once daily",73,23.7455432538938,0,0,0,10,5,0,20,10,10,0,15,40,"Poor","Poor"
"44-59","Male","White","Some college but no degree","$40,000-74,000",5,10,213,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","At least once daily","At least once daily","At least once daily",70,30.5589795918367,10,0,0,0,NA,10,0,0,0,0,NA,10,"Poor","Poor"
"74 or older","Female","Asian","High school degree or equivalent (e.g., GED)","Less than $40,000",5,0,113,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","None of the above","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a week",60,22.0663888888889,10,0,0,5,10,0,30,30,30,10,25,100,"Moderate","Satisfactory"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,5,234,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","None of the above","Yes","Once a month or less","Once a month or less","At least once daily","3 to 5 times a month",65,38.9353846153846,0,0,0,10,10,10,30,30,0,20,20,90,"Moderate","Satisfactory"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,4,260,"Agree","Not sure","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","Once a month or less","Once a month or less",64,44.6240234375,10,0,0,5,NA,0,10,10,30,30,NA,80,"Poor","Satisfactory"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,0,291,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Ultra-Processed foods","None of the above","No","At least once daily","At least once daily","Once a month or less","At least once daily",60,56.8258333333333,0,0,0,5,10,0,0,0,30,0,15,30,"Poor","Poor"
"28-43","Female","White","Bachelor degree","$250,000+",6,5,170,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients were sourced locally","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","At least once daily","3 to 5 times a week","3 to 5 times a week",77,20.1568561308821,10,0,0,5,NA,10,10,0,10,10,NA,40,"Poor","Poor"
"60-73","Female","White","Some college but no degree","Less than $40,000",5,5,185,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",65,30.7822485207101,10,0,0,10,5,0,30,30,30,20,25,110,"Moderate","Excellent"
"44-59","Female","White","Graduate degree","$250,000+",5,12,187,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","At least once daily","3 to 5 times a week","3 to 5 times a week",72,25.3589891975309,10,0,0,10,NA,10,0,0,10,10,NA,30,"Poor","Poor"
"44-59","Male","White","Graduate degree","$100,000-149,000",6,4,180,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",76,21.9078947368421,10,0,0,5,NA,10,10,10,10,10,NA,50,"Poor","Poor"
"28-43","Female","Asian","Bachelor degree","Less than $40,000",5,2,120,"Agree","Not sure","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a month","Once a month or less","At least once daily",62,21.945889698231,10,0,0,10,NA,0,30,20,30,0,NA,80,"Poor","Satisfactory"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,1,130,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",61,24.5606019887127,10,0,0,10,NA,0,0,10,10,10,NA,30,"Poor","Poor"
"27 or younger","Male","White","Associate degree","$75,000-99,000",6,3,198,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients were sourced locally","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week","3 to 5 times a month",75,24.7456,10,0,0,10,NA,10,10,20,10,20,NA,70,"Poor","Moderate"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,6,184,"Not sure","Not sure","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",66,29.6951331496786,0,0,0,10,5,0,0,30,30,10,15,70,"Poor","Moderate"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,7,240,"Agree","Not sure","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a month","3 to 5 times a month","At least once daily",67,37.5852082869236,10,0,0,10,NA,0,30,20,20,0,NA,70,"Poor","Moderate"
"28-43","Female","Hispanic","High school degree or equivalent (e.g., GED)","$75,000-99,000",5,0,250,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",60,48.8194444444444,10,0,0,5,NA,0,10,20,20,10,NA,60,"Poor","Moderate"
"60-73","Female","White","Graduate degree","Less than $40,000",5,4,114,"Not sure","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",64,19.56591796875,0,0,0,10,NA,0,0,10,20,10,NA,40,"Poor","Poor"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,9,160,"Disagree","Not sure","Ingredients come from nature","Processed foods","None of the above","No","At least once daily","3 to 5 times a week","Once a month or less","3 to 5 times a month",69,23.6252888048729,0,0,0,10,10,0,0,10,30,20,20,60,"Moderate","Moderate"
"74 or older","Female","White","Bachelor degree","$40,000-74,000",5,2,110,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week",62,20.1170655567118,0,0,10,10,5,0,30,20,20,10,25,80,"Moderate","Satisfactory"
"28-43","Male","White","Bachelor degree","$100,000-149,000",6,6,80,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","Yes","At least once daily","At least once daily","3 to 5 times a week","At least once daily",78,9.2439184746877,10,0,0,5,NA,10,0,0,10,0,NA,20,"Poor","Poor"
"28-43","Female","White","Associate degree","Less than $40,000",5,4,123,"Not sure","Not sure","Nothing","Processed foods","None of the above","No","At least once daily","At least once daily","Once a month or less","3 to 5 times a week",64,21.110595703125,0,0,10,10,10,0,0,0,30,10,30,40,"Moderate","Poor"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,4,195,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients were sourced locally","Ultra-Processed foods","None of the above","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",64,33.468017578125,0,0,0,5,10,0,0,30,30,10,15,70,"Poor","Moderate"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,10,250,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a month","Once a month or less","3 to 5 times a week",70,35.8673469387755,0,0,0,5,5,0,10,20,30,10,10,70,"Poor","Moderate"
"28-43","Female","White","Some college but no degree","Less than $40,000",5,3,125,"Agree","Not sure","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","Once a month or less","At least once daily",63,22.1403376165281,10,0,0,5,NA,0,0,10,30,0,NA,40,"Poor","Poor"
"27 or younger","Female","White","Bachelor degree","$100,000-149,000",5,1,93,"Disagree","Do not have a significant impact on nutritional value","Ingredients were sourced locally","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a week","Once a month or less","At least once daily",61,17.5702768073099,0,0,0,5,NA,0,0,10,30,0,NA,40,"Poor","Poor"
"44-59","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,7,123,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","At least once daily","Once a month or less",67,19.2624192470483,0,0,0,10,5,0,10,30,0,30,15,70,"Poor","Moderate"
"27 or younger","Female","Other","Bachelor degree","$40,000-74,000",5,9,135,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a month","Once a month or less","Once a month or less","3 to 5 times a month",69,19.9338374291115,10,0,0,5,5,10,20,30,30,20,20,110,"Moderate","Excellent"
"44-59","Male","Hispanic","Bachelor degree","$100,000-149,000",5,11,195,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",71,27.1940091251736,0,0,0,5,5,0,10,10,20,10,10,50,"Poor","Poor"
"27 or younger","Male","Asian","Bachelor degree","$75,000-99,000",6,2,160,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients were sourced locally","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","Once a month or less","3 to 5 times a week","3 to 5 times a month",74,20.5405405405405,0,0,0,10,5,0,10,30,10,20,15,70,"Poor","Moderate"
"74 or older","Female","White","Bachelor degree","Less than $40,000",5,4,162,"Not sure","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","3 to 5 times a month","At least once daily",64,27.80419921875,0,0,0,10,NA,0,0,30,20,0,NA,50,"Poor","Poor"
"44-59","Female","American Indian or Alaskan Native","Some college but no degree","Less than $40,000",5,8,185,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Minimally processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",68,28.1260813148789,10,0,0,5,NA,0,10,10,20,10,NA,50,"Poor","Poor"
"44-59","Female","Asian","Associate degree","Less than $40,000",5,5,182,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Enriched foods","None of the above","No","At least once daily","Once a month or less","Once a month or less","3 to 5 times a month",65,30.2830769230769,10,0,0,0,10,0,0,30,30,20,20,80,"Moderate","Satisfactory"
"60-73","Female","White","Graduate degree","$40,000-74,000",5,2,186,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","3 to 5 times a month","Once a month or less","3 to 5 times a month",62,34.0161290322581,0,0,0,10,5,0,20,20,30,20,15,90,"Poor","Satisfactory"
"27 or younger","Female","White","Associate degree","Less than $40,000",5,2,115,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a month","3 to 5 times a month","At least once daily",62,21.0314776274714,10,0,0,10,NA,0,10,20,20,0,NA,50,"Poor","Poor"
"44-59","Female","White","Less than a high school degree","Less than $40,000",6,1,290,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",73,38.2567085757178,10,0,0,5,5,0,10,10,10,10,20,40,"Moderate","Poor"
"44-59","Female","Black or African-American","Associate degree","$40,000-74,000",5,9,200,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","3 to 5 times a month","3 to 5 times a month","At least once daily",69,29.5316110060912,10,0,0,10,NA,0,0,20,20,0,NA,40,"Poor","Poor"
"28-43","Female","White","Bachelor degree","$75,000-99,000",5,7,140,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","3 to 5 times a month","At least once daily",67,21.9247048340388,10,0,0,10,NA,0,0,30,20,0,NA,50,"Poor","Poor"
"28-43","Female","Black or African-American","Associate degree","Less than $40,000",5,2,140,"Not sure","Not sure","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","At least once daily","Once a month or less","Once a month or less","3 to 5 times a week",62,25.6035379812695,0,0,0,10,5,10,0,30,30,10,15,80,"Poor","Satisfactory"
"74 or older","Female","White","Some college but no degree","Less than $40,000",5,2,112,"Not sure","Do not have a significant impact on nutritional value","Ingredients come from nature","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","Once a month or less","3 to 5 times a week","Once a month or less","3 to 5 times a week",62,20.4828303850156,0,0,0,10,NA,0,30,10,30,10,NA,80,"Poor","Satisfactory"
"60-73","Female","White","Bachelor degree","$40,000-74,000",5,7,160,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","Once a month or less","Once a month or less","At least once daily",67,25.0568055246157,10,0,0,5,5,0,20,30,30,0,20,80,"Moderate","Satisfactory"
"44-59","Male","White","Some college but no degree","$75,000-99,000",6,1,179,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a week","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",73,23.6136235691499,10,0,0,5,5,10,10,10,20,10,20,60,"Moderate","Moderate"
"60-73","Female","Asian","Some college but no degree","Less than $40,000",5,5,133,"Not sure","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Enriched foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","At least once daily","Once a month or less","3 to 5 times a month","At least once daily",65,22.1299408284024,0,0,10,0,NA,0,0,30,20,0,NA,50,"Poor","Poor"
"74 or older","Male","White","Bachelor degree","Less than $40,000",5,11,194,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Nothing","Ultra-Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","Once a month or less","3 to 5 times a month",71,27.0545526681214,10,0,10,5,5,0,30,30,30,20,30,110,"Moderate","Excellent"
"44-59","Male","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,9,230,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","At least once daily","3 to 5 times a month","3 to 5 times a week","At least once daily",69,33.9613526570048,10,0,0,10,5,0,0,20,10,0,25,30,"Moderate","Poor"
"44-59","Female","White","Associate degree","Less than $40,000",5,6,100,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","None of the above","No","3 to 5 times a month","3 to 5 times a week","3 to 5 times a month","3 to 5 times a week",66,16.1386593204775,0,0,0,10,10,0,20,10,20,10,20,60,"Moderate","Moderate"
"60-73","Female","White","Associate degree","Less than $40,000",5,3,187,"Agree","Do not have a significant impact on nutritional value","Ingredients meet federal requirements","Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","Once a month or less","3 to 5 times a month","Once a month or less",63,33.121945074326,10,0,0,10,NA,0,10,30,20,30,NA,90,"Poor","Satisfactory"
"28-43","Female","Black or African-American","Some college but no degree","$40,000-74,000",5,4,115,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients come from nature","Enriched foods","UPFs are higher in salt, fat, and sweeteners","No","3 to 5 times a month","3 to 5 times a month","3 to 5 times a week","3 to 5 times a month",64,19.737548828125,10,0,0,0,5,0,20,20,10,20,15,70,"Poor","Moderate"
"28-43","Female","White","High school degree or equivalent (e.g., GED)","Less than $40,000",5,1,129,"Agree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients were sourced locally","Minimally processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","At least once daily","3 to 5 times a month",61,24.3716742811072,10,0,0,5,5,0,30,30,0,20,20,80,"Moderate","Satisfactory"
"28-43","Male","White","Some college but no degree","$100,000-149,000",6,3,185,"Disagree","Improving the nutritional value by adding essential vitamins and minerals","Ingredients meet federal requirements","Ultra-Processed foods","UPFs have gone through several additional processing steps, but often have the same ingredients","No","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week","3 to 5 times a week",75,23.1208888888889,0,0,0,5,NA,0,10,10,10,10,NA,40,"Poor","Poor"
"27 or younger","Female","Hispanic","Some college but no degree","Less than $40,000",5,5,210,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Ultra-Processed foods","None of the above","No","At least once daily","At least once daily","3 to 5 times a week","3 to 5 times a month",65,34.9420118343195,10,0,0,5,10,0,0,0,10,20,25,30,"Moderate","Poor"
"44-59","Female","Black or African-American","High school degree or equivalent (e.g., GED)","Less than $40,000",5,7,218,"Disagree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","No","Once a month or less","Once a month or less","3 to 5 times a month","3 to 5 times a month",67,34.1398975272889,0,0,0,10,5,0,30,30,20,20,15,100,"Poor","Satisfactory"
"74 or older","Male","Black or African-American","Some college but no degree","$40,000-74,000",6,2,184,"Agree","Reducing the nutritional value by replacing or masking natural ingredients","Ingredients come from nature","Processed foods","UPFs are higher in salt, fat, and sweeteners","Yes","3 to 5 times a week","Once a month or less","Once a month or less","Once a month or less",74,23.6216216216216,10,0,0,10,5,10,10,30,30,30,25,110,"Moderate","Excellent"
